0,1,2,3,4,5
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Subsidiary,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Affiliate,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Affiliate,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Branch,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Branch,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Cinvest Loop,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Cinvest Loop,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Bank Loop_Non Loop,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Bank Loop_Non Loop,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Supplier looping,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Supplier looping,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
